"id","tags"
"1","physics dark matter quantum field theory"
"2","physics quantum field theory atom"
"3","physics quantum field theory quantum electrodynamics"
"7","physics econophysics theory of everything"
"9","physics quantum gravity statistical mechanics"
"13","physics newton's law of universal gravitation polarization (waves)"
"15","physics cosmic inflation dark energy"
"17","physics star quantum chromodynamics"
"19","physics cosmic inflation universe"
"21","physics density functional theory statistical mechanics"
"24","physics nanotechnology gravitational radiation"
"26","physics theory of everything magnetism"
"27","physics black hole atom"
"29","physics photon electromagnetic radiation"
"31","physics self-organization high-energy astrophysics"
"32","physics solar system universe"
"35","physics electromagnetic quantum field theory"
"37","physics density functional theory cosmic inflation"
"41","physics cosmic inflation planet"
"49","physics photovoltaics optics"
"52","physics planet spontaneous symmetry breaking"
"62","physics neutrino oscillation particle physics"
"68","physics optics polarization (waves)"
"71","physics photon optics"
"72","physics particle physics electromagnetic radiation"
"73","physics cosmic inflation brane"
"75","physics solid polarization (waves)"
"78","physics particle physics atom"
"79","physics optics electrical conduction"
"83","physics optics gravitational radiation"
"85","physics electroweak theory grand unification theory"
"89","physics theory of everything econophysics"
"90","physics supernova atom"
"93","physics newton's law of universal gravitation magnetism"
"94","physics gravitational radiation polarization (waves)"
"95","physics lambda-cdm model dark energy"
"98","physics atom star"
"100","physics plasma physics nuclear physics"
"101","physics particle physics atom"
"102","physics magnetism newton's law of universal gravitation"
"111","physics quantum field theory gauge theory"
"115","physics optics quantum field theory"
"122","physics supernova quantum field theory"
"123","physics astronomy galaxy"
"127","physics theory of everything quantum electrodynamics"
"129","physics quantum field theory quantum gravity"
"134","physics atom elementary particle"
"139","physics grand unification theory dark energy"
"141","physics quantum field theory dark matter"
"142","physics cosmic inflation supernova"
"145","physics photovoltaics gas"
"147","physics quantum field theory cosmic inflation"
"156","physics planet polarization (waves)"
"159","physics superstring theory theory of everything"
"160","physics quantum gravity gas"
"166","physics laser quantum field theory"
"167","physics geophysics star"
"168","physics solid electrical conduction"
"173","physics high-energy astrophysics general relativity"
"185","physics cosmic inflation black hole"
"186","physics dark matter atom"
"191","physics laser galaxy"
"193","physics universe electromagnetic radiation"
"196","physics cosmic inflation quantum field theory"
"197","physics quantum field theory universe"
"198","physics photon astronomy"
"202","physics quantum field theory neutrino oscillation"
"208","physics black hole supernova"
"214","physics photovoltaics nanotechnology"
"217","physics neutrino oscillation magnetohydrodynamics"
"218","physics cosmic inflation galaxy"
"222","physics laser newton's law of universal gravitation"
"228","physics optics supernova"
"234","physics quantum field theory theory of everything"
"236","physics universe photon"
"237","physics quantum field theory supernova"
"239","physics quantum field theory universe"
"252","physics quantum field theory quantum electrodynamics"
"257","physics photon antimatter"
"258","physics optics casimir effect"
"268","physics geophysics solar system"
"270","physics optics planet"
"271","physics cosmic inflation big bang"
"272","physics dark energy quantum gravity"
"286","physics gas optics"
"290","physics quantum field theory optics"
"296","physics photon electromagnetic radiation"
"300","physics geophysics photovoltaics"
"303","physics polarization (waves) semiconductor"
"304","physics electromagnetic radiation supernova"
"305","physics photovoltaics solid"
"312","physics quantum field theory neutrino oscillation"
"317","physics cosmic inflation polarization (waves)"
"321","physics high-energy astrophysics gravitational"
"326","physics theory of everything grand unification theory"
"328","physics magnetism theory of everything"
"331","physics astronomy cosmic inflation"
"335","physics optics newton's law of universal gravitation"
"339","physics polarization (waves) optics"
"340","physics optics photovoltaics"
"341","physics magnetism quantum field theory"
"347","physics solid laser"
"353","physics gravitational radiation star"
"356","physics dark energy star"
"357","physics particle physics nanotechnology"
"361","physics general relativity cosmic inflation"
"363","physics quantum field theory cosmic inflation"
"364","physics black hole high-energy astrophysics"
"370","physics star quantum field theory"
"371","physics newton's law of universal gravitation gravitational radiation"
"379","physics optics big bang"
"383","physics casimir effect quantum gravity"
"384","physics polarization (waves) solid"
"386","physics optics phonon"
"387","physics supernova gauge theory"
"388","physics black hole theory of everything"
"389","physics quantum field theory atom"
"391","physics big bang quantum field theory"
